,summary_ch-0_quantile-0.9,summary_ch-0_quantile-0.5,summary_ch-0_quantile-0.1,summary_ch-0_mean,summary_ch-0_std,summary_ch-1_quantile-0.9,summary_ch-1_quantile-0.5,summary_ch-1_quantile-0.1,summary_ch-1_mean,summary_ch-1_std,summary_ch-2_quantile-0.9,summary_ch-2_quantile-0.5,summary_ch-2_quantile-0.1,summary_ch-2_mean,summary_ch-2_std
870,0.9529411792755127,0.9176470637321472,0.7921568751335144,0.8878402,0.09775714,0.9333333373069763,0.8392156958580017,0.6431372761726379,0.8084533,0.12665595,0.9490196108818054,0.9019607901573181,0.7960784435272217,0.8819791,0.07643064
871,0.9490196108818054,0.9058823585510254,0.7607843279838562,0.87449926,0.09852244,0.9254902005195618,0.7960784435272217,0.5882353186607361,0.7726115,0.1360564,0.9450980424880981,0.8823529481887817,0.7647058963775635,0.86340433,0.08024581
872,0.9411764740943909,0.9058823585510254,0.8156862854957581,0.88351285,0.080716774,0.8745098114013672,0.7607843279838562,0.6196078658103943,0.74812603,0.10811493,0.9215686321258545,0.8666666746139526,0.7921568751335144,0.85781324,0.062998876
873,0.9372549057006836,0.8941176533699036,0.8196078538894653,0.8785367,0.07489933,0.8313725590705872,0.6941176652908325,0.5372549295425415,0.6873857,0.11443076,0.9019607901573181,0.8352941274642944,0.7450980544090271,0.82809395,0.06690052
874,0.9411764740943909,0.9019607901573181,0.8078431487083435,0.88049793,0.0876109,0.8470588326454163,0.7372549176216125,0.5647059082984924,0.7174975,0.11497885,0.9098039269447327,0.8588235378265381,0.7647058963775635,0.84386533,0.06850286
875,0.9529411792755127,0.9176470637321472,0.8274509906768799,0.8882225,0.102397695,0.9137254953384399,0.7960784435272217,0.6039215922355652,0.7686945,0.13044375,0.9372549057006836,0.886274516582489,0.7843137383460999,0.8656463,0.08059857
876,0.95686274766922,0.9215686321258545,0.843137264251709,0.89558625,0.10070282,0.9411764740943909,0.8274509906768799,0.6039215922355652,0.792577,0.14498064,0.9529411792755127,0.8980392217636108,0.7843137383460999,0.8740806,0.0875359
882,0.9529411792755127,0.929411768913269,0.8901960849761963,0.9162043,0.06375415,0.9333333373069763,0.8627451062202454,0.7764706015586853,0.851816,0.08507152,0.9450980424880981,0.9137254953384399,0.8666666746139526,0.90346104,0.05164738
883,0.9490196108818054,0.9254902005195618,0.886274516582489,0.91207075,0.064576834,0.9098039269447327,0.8470588326454163,0.772549033164978,0.8361766,0.07946513,0.9372549057006836,0.9058823585510254,0.8666666746139526,0.8980339,0.049381986
884,0.9529411792755127,0.9254902005195618,0.8784313797950745,0.9119626,0.06543864,0.9333333373069763,0.8509804010391235,0.7450980544090271,0.83904326,0.088827536,0.9490196108818054,0.9098039269447327,0.8509804010391235,0.8986631,0.053090706
885,0.95686274766922,0.9254902005195618,0.8588235378265381,0.9114638,0.06246681,0.9490196108818054,0.8549019694328308,0.7450980544090271,0.84876275,0.08889951,0.9529411792755127,0.9098039269447327,0.8470588326454163,0.9022967,0.0518837
910,0.9490196108818054,0.9058823585510254,0.8509804010391235,0.89353555,0.074603945,0.9411764740943909,0.843137264251709,0.7529411911964417,0.841305,0.09846507,0.9490196108818054,0.8901960849761963,0.8392156958580017,0.888415,0.06256981
911,0.9098039269447327,0.8745098114013672,0.800000011920929,0.8531774,0.08457051,0.8823529481887817,0.7960784435272217,0.6823529601097107,0.7806446,0.10032648,0.9058823585510254,0.8627451062202454,0.800000011920929,0.8502858,0.06555611
912,0.8941176533699036,0.8627451062202454,0.7960784435272217,0.84225166,0.085596435,0.8549019694328308,0.7803921699523926,0.6784313917160034,0.7643297,0.097883634,0.8941176533699036,0.8549019694328308,0.7960784435272217,0.8420078,0.06473792
913,0.8941176533699036,0.8509804010391235,0.7490196228027344,0.8302757,0.0879688,0.843137264251709,0.7529411911964417,0.6274510025978088,0.7375154,0.10404319,0.8901960849761963,0.843137264251709,0.7686274647712708,0.83046687,0.06674582
